Gene_name,Ensmbl,Hevin_logFC,Hevin_logCPM,Hevin_F,Hevin_PValue,Hevin_adjP,LPS_logFC,LPS_logCPM,LPS_F,LPS_PValue,LPS_adjP
Acvr1,ENSMUSG00000026836,0.158780441,5.583995765,3.65858308,0.079197198,0.297483042,0.002187181,5.583995765,0.000689391,0.979471537,0.991748181
Acvr1b,ENSMUSG00000000532,-0.122230764,6.212310895,0.699177466,0.418910588,0.715118438,1.043712149,6.212310895,50.22654357,1.07E-05,0.000224858
Acvr2a,ENSMUSG00000052155,0.045469953,5.202877842,0.237116754,0.634805787,0.852060801,0.215942467,5.202877842,5.326793243,0.039012433,0.112243726
Acvr2b,ENSMUSG00000061393,1.314909524,0.669613106,18.09249411,0.001046895,0.016298616,0.206976148,0.669613106,0.427788196,0.525042689,0.697459353
Acvrl1,ENSMUSG00000000530,0.398200476,5.72147805,15.17321677,0.002012097,0.025937854,-0.401041068,5.72147805,15.15589637,0.002020355,0.011575302
Acy1,ENSMUSG00000023262,0.064377132,1.515683928,0.057571838,0.814303549,0.926871851,0.115506694,1.515683928,0.181770361,0.677177239,0.809373191
Acy3,ENSMUSG00000024866,0.810129991,-0.564108404,1.98415151,0.183575813,0.479413774,-0.919757362,-0.564108404,2.171150873,0.165593097,0.323902236
Acyp1,ENSMUSG00000008822,-0.435356111,0.207656182,0.795627514,0.389415645,0.693847922,-0.781563223,0.207656182,2.48761886,0.139949002,0.28690236
Acyp2,ENSMUSG00000060923,-0.645904208,1.303042404,9.674991434,0.008718473,0.072319059,-0.101493048,1.303042404,0.241154985,0.631965036,0.777759393
Ada,ENSMUSG00000017697,-0.105742598,0.839060049,0.127360009,0.727195492,0.893690809,0.243725634,0.839060049,0.673078291,0.427498371,0.613042783
Adal,ENSMUSG00000027259,0.122747021,3.774346712,0.950229297,0.348328107,0.657455738,-0.640258457,3.774346712,24.90776357,0.000286175,0.002674335
Adam10,ENSMUSG00000054693,0.505796235,8.260364649,13.43906173,0.003076521,0.035308355,0.33613497,8.260364649,5.940136661,0.030761001,0.094127887
Adam12,ENSMUSG00000054555,0.951246384,-0.225930299,3.401119148,0.089211159,0.317049759,0.602013366,-0.225930299,1.326778222,0.271142894,0.455275845
Adam15,ENSMUSG00000028041,0.329305964,6.645779267,5.102917633,0.042663869,0.201224561,-1.233327831,6.645779267,68.50438049,2.15E-06,6.83E-05
Adam17,ENSMUSG00000052593,0.338823473,8.602719672,17.20292967,0.00126812,0.018551043,0.689768933,8.602719672,70.78230815,1.81E-06,5.89E-05
Adam19,ENSMUSG00000011256,0.079302326,2.136587507,0.096688776,0.761014558,0.907530368,0.257240118,2.136587507,0.994451615,0.337753681,0.527074081
Adam1a,ENSMUSG00000072647,-0.464038841,2.283358861,3.533172691,0.083894132,0.30782351,0.246522223,2.283358861,1.002175331,0.335954743,0.525337985
Adam1b,ENSMUSG00000062438,-0.508288979,-0.11482841,1.095886738,0.315183832,0.627047216,0.416710259,-0.11482841,0.770701201,0.396721693,0.583112316
Adam22,ENSMUSG00000040537,0.096096277,0.966009458,0.076627152,0.786489966,0.916875694,0.354710341,0.966009458,1.036404751,0.328146521,0.5164605
Adam23,ENSMUSG00000025964,0.127189836,-0.566599657,0.043762514,0.837699625,0.936999249,0.216138743,-0.566599657,0.12341091,0.731271716,0.845600161
Adam3,ENSMUSG00000031553,-0.264371675,1.622407545,0.96274762,0.34528631,0.654143404,-0.604087224,1.622407545,4.862936302,0.047040223,0.129793526
Adam32,ENSMUSG00000037437,0.177739874,-1.046171756,0.100088375,0.756995533,0.905386959,-0.4849592,-1.046171756,0.656023083,0.433263829,0.618383328
Adam33,ENSMUSG00000027318,1.459784451,3.821060911,27.6136931,0.000182996,0.004564226,-0.675214492,3.821060911,5.687810992,0.033876721,0.101478848
Adam4,ENSMUSG00000072972,-0.663846061,-0.607213514,1.90295409,0.192161895,0.491296054,-0.586592523,-0.607213514,1.443046012,0.252129959,0.432592535
Adam8,ENSMUSG00000025473,-0.607425631,8.420989367,9.238247809,0.009966508,0.078600059,-1.477587588,8.420989367,52.56101418,8.53E-06,0.000188168
Adam9,ENSMUSG00000031555,0.037768156,8.215434017,0.102921119,0.753704001,0.904366547,0.338504483,8.215434017,8.249362321,0.013655631,0.050660107
Adamts1,ENSMUSG00000022893,-0.464210302,6.903408526,9.915865445,0.00810886,0.069644188,0.284265224,6.903408526,3.739555719,0.07633364,0.185210655
Adamts10,ENSMUSG00000024299,0.726682845,3.648118803,9.083261655,0.01045898,0.080895758,-1.172690778,3.648118803,21.63779263,0.000515219,0.004105092
Adamts12,ENSMUSG00000047497,-0.00959111,-0.25036971,0.000311462,0.986200739,0.995221302,-0.000874607,-0.25036971,1.04E-05,0.997477426,0.998576197
Adamts14,ENSMUSG00000059901,1.270666089,0.42714134,15.16391211,0.002016528,0.025948969,1.065817892,0.42714134,10.45216423,0.006922218,0.030217943
Adamts15,ENSMUSG00000033453,-1.221336397,-0.141253708,3.696319366,0.077846761,0.294626307,-0.613847492,-0.141253708,0.951609026,0.347990933,0.536144962
Adamts16,ENSMUSG00000049538,0.769674146,0.496340155,1.675085826,0.219205854,0.527950953,-0.450374058,0.496340155,0.548843098,0.472612195,0.653256077
Adamts2,ENSMUSG00000036545,-0.669536899,-1.013353058,0.869778465,0.368852862,0.676311251,0.393956149,-1.013353058,0.312668565,0.586022922,0.744743866
Adamts20,ENSMUSG00000022449,-0.714482074,-0.808300112,0.355518846,0.561752106,0.811971905,-0.232067479,-0.808300112,0.046719317,0.832394861,0.909429459
Adamts4,ENSMUSG00000006403,-0.196932879,4.850053231,0.804771931,0.386787019,0.69206612,1.977930152,4.850053231,79.78928541,9.49E-07,3.60E-05
Adamts5,ENSMUSG00000022894,0.151345147,0.897762286,0.043827049,0.837581871,0.936999249,0.367615207,0.897762286,0.269391131,0.612895046,0.764344881
Adamts6,ENSMUSG00000046169,0.348028952,1.405980787,2.038348016,0.178117694,0.471704628,0.08897067,1.405980787,0.130382157,0.724124312,0.841013708
Adamts7,ENSMUSG00000032363,0.266500732,0.097023131,0.408159111,0.534549597,0.794173672,0.595440772,0.097023131,2.042461257,0.177711984,0.339455143
Adamts8,ENSMUSG00000031994,0.512616628,0.342151478,0.654715645,0.433710976,0.726147531,-0.036034483,0.342151478,0.003101604,0.956476063,0.981335665
Adamts9,ENSMUSG00000030022,-0.950018928,5.064739869,34.73626046,6.46E-05,0.002124869,0.317853978,5.064739869,4.009449315,0.067652228,0.169433525
Adamtsl1,ENSMUSG00000066113,-0.496457512,0.033806811,0.43310808,0.522520448,0.785770113,0.144939457,0.033806811,0.036091117,0.852407563,0.91943875
Adamtsl2,ENSMUSG00000036040,1.293549278,0.019899008,2.356586159,0.149913152,0.427345059,0.530597211,0.019899008,0.375340726,0.551198001,0.718931857
Adamtsl3,ENSMUSG00000070469,0.257170744,-0.203700028,0.08514968,0.775269502,0.91202937,1.069454925,-0.203700028,1.479691657,0.246511399,0.425816377
Adamtsl4,ENSMUSG00000015850,-0.042247051,1.386319408,0.015599527,0.902609911,0.964349385,0.796963039,1.386319408,5.585691192,0.035243305,0.104522314
Adamtsl5,ENSMUSG00000043822,-1.041576941,1.544237401,10.32421303,0.007185731,0.063867794,-0.765703989,1.544237401,5.538903981,0.035891246,0.105946936
Adap1,ENSMUSG00000056413,0.5946229,3.667539938,8.540406929,0.012424309,0.091699423,-1.210301255,3.667539938,32.53691444,8.75E-05,0.001086984
Adap2,ENSMUSG00000020709,0.443038194,6.267049826,2.842413248,0.116830496,0.369218023,-0.048445741,6.267049826,0.033809157,0.857091376,0.922362767
Adar,ENSMUSG00000027951,0.175131239,8.373991666,0.40979658,0.533744145,0.793900738,0.933375806,8.373991666,11.46094746,0.005197762,0.024245191
Adarb1,ENSMUSG00000020262,0.599928886,2.797135498,5.772437694,0.032791712,0.169809216,-0.040749079,2.797135498,0.026009182,0.87448047,0.932853358
Adarb2,ENSMUSG00000052551,0.516741611,-0.166910684,0.531162781,0.479682109,0.756349766,0.816903631,-0.166910684,1.328264769,0.270887712,0.454899898
Adat1,ENSMUSG00000031949,0.31110329,0.669470389,0.533416573,0.478770779,0.755834251,-0.19735767,0.669470389,0.202087983,0.660811827,0.797482345
Adat2,ENSMUSG00000019808,0.515446006,1.465339244,1.921701884,0.190134293,0.488887919,-0.199979541,1.465339244,0.278642887,0.606926149,0.759951187
Adat3,ENSMUSG00000035370,0.051931298,2.547599484,0.048018211,0.830120341,0.933476133,-0.133098799,2.547599484,0.306892988,0.589461777,0.747548448
Adck1,ENSMUSG00000021044,-0.027656959,3.136654587,0.028403684,0.868886035,0.951605923,-0.157263757,3.136654587,0.904301091,0.35983175,0.547828863
Adck2,ENSMUSG00000046947,0.105928142,2.085978906,0.246587083,0.628190485,0.848166106,-0.533964405,2.085978906,6.009406704,0.029965946,0.092305116
Adck3,None,-0.166455898,0.308745911,0.258042593,0.620399295,0.844104993,1.285074666,0.308745911,15.74742733,0.001759361,0.010417905
Adck4,None,0.70189302,3.725230304,15.09042721,0.002051928,0.026265038,0.044103434,3.725230304,0.058555836,0.812756166,0.897773276
Adck5,ENSMUSG00000022550,0.10645638,3.638167454,0.297941501,0.594877206,0.830942311,-0.147752012,3.638167454,0.565956082,0.465937174,0.646981708
Adcy1,ENSMUSG00000020431,0.108622054,1.221803428,0.042194348,0.840589398,0.938066027,-0.957204944,1.221803428,2.967764322,0.109809833,0.240487818
Adcy2,ENSMUSG00000021536,-0.114397583,-0.914800924,0.026057738,0.874364453,0.955016413,0.049592532,-0.914800924,0.005150853,0.943932084,0.974630152
Adcy3,ENSMUSG00000020654,1.815126221,5.092078677,116.3231116,1.18E-07,2.33E-05,-0.943422005,5.092078677,30.53028982,0.000116917,0.001358983
Adcy4,ENSMUSG00000022220,-0.105034859,3.358074349,0.121990945,0.732755423,0.896515828,-0.026911505,3.358074349,0.007959793,0.930336348,0.965792439
Adcy5,ENSMUSG00000022840,0.234643042,0.353954874,0.311302698,0.586832347,0.825848871,0.378823648,0.353954874,0.802703998,0.387379082,0.574423438
Adcy6,ENSMUSG00000022994,-0.150712057,3.951647781,1.58443018,0.231347692,0.541296351,-0.03914373,3.951647781,0.106215301,0.749938943,0.85812039
Adcy7,ENSMUSG00000031659,0.570678544,7.216337902,16.59243114,0.001451664,0.020414546,-0.746651298,7.216337902,28.05575631,0.000170617,0.001821542
Adcy8,ENSMUSG00000022376,-0.548159547,-0.542928916,0.432050665,0.523019989,0.785973312,-0.820650607,-0.542928916,0.898572645,0.361305785,0.548866215
